make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,total_revenue,profit_margin,profit_margin_tier,sale_month_year,sale_quarter
Nissan,Maxima,3.5 SL,sedan,automatic,1n4ba41e04c804848,nc,22,149473,gray,beige,credit acceptance corp/vrs/southfield,2375,2900,Mon Jun 01 2015 02:30:00,2900,0.1810344827586207,Medium,June 2015,2
Toyota,Corolla,S,sedan,Unknown,1nxbr32e24z192007,ca,28,132511,silver,gray,hoehn motors inc,3850,3900,Wed May 27 2015 05:30:00,3900,0.01282051282051282,Low,May 2015,2
Toyota,Camry,LE V6,sedan,Unknown,4t1bf32k34u068830,ca,25,180822,black,beige,kearny pearson kia,3150,3000,Wed May 27 2015 05:30:00,3000,-0.05,Low,May 2015,2
Porsche,Boxster,Base,convertible,manual,wp0ca29804u621381,ca,29,108525,black,black,phillips auto brokerage,8275,7000,Wed May 27 2015 05:30:00,7000,-0.18214285714285713,Low,May 2015,2
Toyota,Matrix,Base,wagon,manual,2t1kr32e14c190752,pa,19,126741,blue,black,credit acceptance corp/vrs/southfield,3500,700,Tue Jun 02 2015 02:30:00,700,-4,Low,June 2015,2
Toyota,Camry,LE,sedan,automatic,jtdbe32k840250571,ca,2,149837,silver,gray,veros credit,3525,3200,Wed May 27 2015 04:00:00,3200,-0.1015625,Low,May 2015,2
Toyota,Sienna,XLE 7-Passenger,minivan,automatic,5tdza22c84s051417,nj,2,215317,beige,beige,purple heart services inc,3300,1700,Thu May 28 2015 11:05:00,1700,-0.9411764705882353,Low,May 2015,2
Toyota,Camry,LE,sedan,automatic,jtdbe32k440275743,fl,2,266114,silver,gray,arg inc,1400,1500,Fri May 29 2015 02:30:00,1500,0.06666666666666667,Low,May 2015,2
Subaru,Impreza,WRX STi,sedan,manual,jf1gd70644l520552,mo,19,97776,black,black,hendrick nissan kansas city,12050,11700,Wed May 27 2015 03:30:00,11700,-0.029914529914529916,Low,May 2015,2
Pontiac,Grand Am,SE1,sedan,automatic,1g2nf52e34m575111,az,19,128845,blue,gray,camelback finance co,1475,950,Thu May 28 2015 05:00:00,950,-0.5526315789473685,Low,May 2015,2
